Wall time,Step,Value
1773941319.8821826,1138,9.0
1773941535.6628308,1141,3.0
1773942206.503116,1146,10.0
1773942347.5290768,1147,14.0
1773942716.4877934,1150,6.0
1773942986.6810248,1153,2.0
1773943073.0428882,1154,4.0
1773943879.9198103,1160,12.0
1773944001.0578887,1161,8.0
1773944369.0315144,1164,10.0
1773944602.1548433,1166,8.0
1773944753.62244,1167,7.0
1773945443.3069875,1173,11.0
1773945608.7337499,1174,21.0
1773945763.9943514,1175,11.0
1773946153.224423,1177,12.0
1773947084.1752496,1182,12.0
1773947272.8057728,1183,21.0
1773947566.0156069,1185,5.0
1773947728.484681,1187,1.0
1773948272.5007682,1192,4.0
1773948596.907403,1194,18.0
1773949043.0034125,1197,21.0
1773949177.596017,1198,13.0
1773950002.3938031,1206,13.0
1773950279.4002752,1208,21.0
1773950795.105691,1211,17.0
1773951413.1512227,1215,21.0
1773951560.7088256,1216,21.0
1773952142.054027,1220,21.0
1773952570.6678011,1223,21.0
1773953330.1537342,1229,20.0
1773955022.9046671,1239,4.0
1773955128.707054,1241,0.0
1773955181.1239896,1242,0.0
1773955231.4307597,1243,0.0
1773955285.747735,1244,1.0
1773955357.5325358,1245,3.0
1773955512.9246035,1248,1.0
1773955571.7051666,1249,1.0
1773955630.810188,1250,0.0
1773955682.9997532,1251,0.0
1773955799.707499,1253,1.0
1773955875.5426748,1254,2.0
1773956133.8500984,1257,12.0
1773956232.5721593,1258,7.0
1773956593.9048605,1262,0.0
1773957162.1266415,1266,17.0
1773957497.3367794,1268,21.0
1773958835.211043,1276,17.0
1773959448.0138052,1279,13.0
1773960228.2768564,1283,21.0
1773960318.7606943,1284,3.0
1773960793.6922443,1287,13.0
1773962109.439184,1294,21.0
1773962672.9138935,1297,14.0
1773963287.7368221,1300,14.0
1773964159.5784805,1305,21.0
1773964682.821612,1308,21.0
1773965436.687193,1313,17.0
1773965593.7639256,1314,21.0
1773966347.1239874,1320,21.0
1773966491.290113,1321,5.0
1773966995.6568792,1324,13.0
1773968404.900834,1334,21.0
1773971687.7964954,1341,5.0
1773971959.4442976,1343,21.0
1773972140.127753,1344,21.0
1773973160.1940541,1350,13.0
1773973454.3026853,1352,21.0
1773973635.4260519,1353,21.0
1773974209.3887212,1356,9.0
1773974369.9974966,1357,21.0
1773975254.2871063,1362,21.0
1773975835.736581,1365,13.0
1773976001.2018404,1366,21.0
1773976529.0139165,1369,21.0
1773977172.939602,1373,15.0
1773977343.8283215,1374,18.0
1773978474.7343414,1380,21.0
1773978919.086977,1383,21.0
1773981055.9744034,1395,21.0
1773981997.8242545,1401,21.0
1773983661.774693,1412,21.0
1773983952.5240934,1415,5.0
1773984019.4623265,1416,4.0
1773985294.497856,1427,21.0
1773985864.5003185,1430,21.0
1773986035.6551955,1431,16.0
1773986215.3920305,1432,18.0
1773987108.2322834,1437,19.0
1773987226.9757407,1438,21.0
1773987647.3962462,1440,21.0
1773988657.0341825,1445,21.0
1773988775.0397136,1446,21.0
1773989141.070033,1449,20.0
1773989244.1496737,1450,13.0
1773989440.2601032,1452,7.0
1773989783.3262463,1455,11.0
1773990236.8982482,1458,21.0
1773990388.1141338,1459,13.0
1773990553.5620606,1460,21.0
1773990709.1689937,1461,21.0
1773992588.7156754,1472,21.0
1773992756.6496062,1473,21.0
1773993921.1750166,1481,21.0
1773994062.6786182,1482,9.0
1773994690.6498425,1486,12.0
1773994898.1793504,1487,21.0
1773995124.402054,1488,19.0
1773995284.9650009,1489,8.0
1773995664.0447447,1492,2.0
1773996389.4675243,1497,16.0
1773996595.8604486,1498,21.0
1773996842.7278457,1499,12.0
1773997616.3107436,1503,21.0
1773997773.3136482,1504,21.0
1773998641.9375484,1508,16.0
1773998794.5274558,1509,21.0
1773999119.410132,1511,21.0
1774000923.618207,1522,21.0
1774001378.4725413,1525,21.0
1774001860.6369925,1528,18.0
1774002506.6756105,1532,21.0
1774003492.4354646,1538,4.0
1774003629.148248,1539,9.0
1774003786.5784338,1540,15.0
1774005462.380309,1550,21.0
1774005789.0222168,1552,11.0
1774006130.5993059,1554,21.0
1774006840.534445,1559,9.0
1774007231.8034813,1562,21.0
1774007422.9713664,1563,19.0
1774007775.816592,1565,11.0
1774008393.7644918,1569,4.0
1774008873.8517756,1572,21.0
1774009646.6080203,1577,4.0
1774009788.5243804,1578,11.0
1774009989.3744926,1579,17.0
1774010168.0615766,1580,19.0
1774010326.0355158,1581,18.0
