Wall time,Step,Value
1773857926.1214154,402,2246.0
1773858076.9148211,404,1600.0
1773858524.9509816,409,2160.0
1773858861.402197,413,2203.0
1773858960.9421856,414,2189.0
1773859046.0736322,415,1705.0
1773859425.4671183,419,1845.0
1773859697.9656708,422,1932.0
1773859806.7849898,423,2241.0
1773860114.5386095,426,2229.0
1773860231.1857867,427,2355.0
1773860721.2978735,432,2229.0
1773861107.6887343,436,2074.0
1773861231.4237134,437,2519.0
1773861446.3013546,439,2252.0
1773861757.2603817,442,2044.0
1773861946.4948416,444,2247.0
1773862140.4375598,446,1996.0
1773862233.548308,447,2020.0
1773862697.7842321,452,1225.0
1773862997.4043262,455,2185.0
1773863157.1370215,457,1782.0
1773863558.4443357,461,1775.0
1773863714.4205182,463,1869.0
1773863950.6324186,466,1792.0
1773864074.0576704,467,2649.0
1773864362.4867864,470,1891.0
1773864756.2513463,474,2108.0
1773864840.8349237,475,1863.0
1773865097.455038,479,1438.0
1773865212.0079687,481,1200.0
1773865384.5658255,484,1042.0
1773865597.4033988,487,1505.0
1773865691.1519258,488,1984.0
1773865741.1312976,489,1134.0
1773865813.3422434,490,1589.0
1773865941.691552,492,1407.0
1773866531.3721058,500,1198.0
1773866671.7621324,502,1409.0
1773866781.37775,503,2393.0
1773867370.9044101,509,2100.0
1773867458.9443347,510,1931.0
1773867548.6044412,511,1898.0
1773867651.1957562,512,2169.0
1773867742.9571807,513,1965.0
1773867830.9950845,514,1971.0
1773868031.9259963,517,1585.0
1773868105.3124115,518,1628.0
1773868180.498044,519,1646.0
1773868510.760248,522,2349.0
1773869388.4121497,531,1866.0
1773869703.588273,534,2525.0
1773869870.48787,536,1707.0
1773869925.4155493,537,1161.0
1773870038.9434385,539,1283.0
1773870105.3845248,540,1435.0
1773870278.3207133,543,945.0
1773870321.4525964,544,946.0
1773870375.178405,545,1131.0
1773870460.8471746,547,1006.0
1773870515.8239162,548,1164.0
1773870901.8129423,554,1553.0
1773870950.0805335,555,1104.0
1773871020.641156,556,1532.0
1773871101.7385602,557,1771.0
1773871599.8562279,563,1534.0
1773871739.4242504,565,1931.0
1773872047.3762388,569,1941.0
1773872118.6778784,570,1637.0
1773872211.2193918,572,921.0
1773872431.3804178,576,983.0
1773872579.074012,578,1620.0
1773872791.4633403,581,1102.0
