Wall time,Step,Value
1775438791.700717,3468,21.0
1775438854.2306895,3469,12.0
1775438929.90117,3470,21.0
1775439013.672891,3471,21.0
1775439074.484633,3472,21.0
1775439126.179215,3473,21.0
1775439191.5206847,3474,21.0
1775439252.6608706,3475,21.0
1775439304.3513355,3476,21.0
1775439361.2922914,3477,21.0
1775439408.2153835,3478,21.0
1775439450.7968693,3479,21.0
1775439510.1860967,3480,21.0
1775439574.3154433,3481,21.0
1775439639.599314,3482,21.0
1775439719.8896477,3483,21.0
1775439774.1645775,3484,21.0
1775439835.590513,3485,21.0
1775439904.9513524,3486,15.0
1775439963.4648983,3487,21.0
1775440029.0669603,3488,21.0
1775440076.4399624,3489,21.0
1775440139.8277142,3490,21.0
1775440194.5604022,3491,21.0
1775440262.2980998,3492,19.0
1775440324.4266021,3493,21.0
1775440390.346514,3494,21.0
1775440445.9316394,3495,21.0
1775440502.2595694,3496,17.0
1775440565.7480338,3497,17.0
1775440619.3683715,3498,21.0
1775440676.4794047,3499,21.0
1775440737.4654322,3500,21.0
1775440795.2443717,3501,21.0
1775440862.3096983,3502,18.0
1775440924.9338775,3503,17.0
1775440983.7067246,3504,21.0
1775441038.7309227,3505,21.0
1775441081.1023705,3506,21.0
1775441148.95617,3507,20.0
1775441201.088374,3508,21.0
1775441263.477534,3509,21.0
1775441322.7030668,3510,21.0
1775441371.9529443,3511,21.0
1775441432.221028,3512,21.0
1775441490.2448688,3513,21.0
1775441537.8055553,3514,21.0
1775441578.3862267,3515,21.0
1775441641.831688,3516,21.0
1775441679.0013306,3517,21.0
1775441746.4795954,3518,21.0
1775441795.282043,3519,21.0
1775441862.8405063,3520,21.0
1775441921.387702,3521,21.0
1775441978.0088606,3522,21.0
1775442042.6736293,3523,21.0
1775442108.7102745,3524,21.0
1775442170.6744545,3525,21.0
1775442227.9926124,3526,21.0
1775442287.7110558,3527,21.0
1775442350.080944,3528,19.0
1775442401.1100626,3529,21.0
1775442444.797277,3530,21.0
1775442493.881619,3531,21.0
1775442561.7041512,3532,21.0
1775442610.1060503,3533,21.0
1775442681.5963151,3534,20.0
1775442744.4912694,3535,20.0
1775442784.404084,3536,21.0
1775442839.032857,3537,21.0
1775442883.6392424,3538,21.0
1775442923.547766,3539,21.0
1775442966.746626,3540,21.0
1775443011.81559,3541,21.0
1775443058.5140908,3542,21.0
1775443106.8723154,3543,21.0
1775443165.0242224,3544,21.0
1775443212.342653,3545,21.0
1775443257.8969352,3546,21.0
1775443304.9954,3547,21.0
1775443356.8511248,3548,21.0
1775443399.8166592,3549,21.0
1775443437.154273,3550,21.0
1775443487.2154365,3551,21.0
1775443530.075067,3552,21.0
1775443586.6203153,3553,21.0
1775443631.3896036,3554,21.0
1775443672.327009,3555,21.0
1775443718.844029,3556,21.0
1775443761.8413997,3557,21.0
1775443812.3327575,3558,11.0
1775443865.100363,3559,21.0
1775443926.253702,3560,21.0
1775443977.7349124,3561,21.0
1775444020.5713885,3562,21.0
1775444072.0292182,3563,21.0
1775444137.781647,3564,21.0
1775444182.321318,3565,21.0
1775444250.8892534,3566,19.0
1775444292.0003753,3567,21.0
1775444343.5685859,3568,21.0
1775444400.9290555,3569,21.0
1775444465.7502234,3570,17.0
1775444510.611744,3571,21.0
1775444561.1695197,3572,21.0
1775444602.736288,3573,21.0
